logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
167,178,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,11,,CBI1404_ELEC_11_01,انتقال وجه بین بانکی پایا - دستور پرداخت گروهی,مبلغ ثابت,FIXED,Flat,15000,,,,,,IRR,,,,SAFE,,63035bcf725c4311a33f6febf6c94c4bb4ad43d43e718863f3fd06f1105f4349,
168,179,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,12,,CBI1404_ELEC_12_01,انتقال وجه بین بانکی ساتنا,درصد,PERCENTAGE_WITH_CAP,RateWithMaximumAmount,,0.02,0.0002,,350000,,IRR,,,,SAFE,,a2a1b5ca3da9779b6212eb91f7698467235ca559fcb1c338d6c1c45e305d590e,
169,180,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,13,,CBI1404_ELEC_13_01,اعلام 10 گردش آخر کارت(بین بانکی),مبلغ ثابت,FIXED,Flat,2200,,,,,,IRR,,,,SAFE,,8faaf2e6d7a0efb4fdcab13c9d881935ab4f9c0f157304f77e020092de307429,
170,181,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,14,,CBI1404_ELEC_14_01,دریافت غیرحضوری قبوض آب، برق، گاز، تلفن (ثابت- همراه) ، شهرداری، راهنمایی و رانندگی و موارد مشابه (از سازمان / شرکت ذی ربط),مبلغ ثابت,FIXED,Flat,1800,,,,,,IRR,,,,SAFE,,48def1f961df325d2659f15c4c859dd5dd0c8d79180efba6345a46bbdb1e839d,
171,182,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,15,,CBI1404_ELEC_15_01,واریز گروهی (پرداخت حقوق، واریز سود سهام، پرداخت پاداش، شارژ بن کارت و ...) از سازمان متقاضی,مبلغ ثابت,FIXED,Flat,4500,,,,,,IRR,,,,SAFE,,30073885ebf5027d664c8e82ad5f5117dfdb23327b0ac47d706e1522adb32270,
172,183,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,16,,CBI1404_ELEC_16_01,ارتباط هر حساب جدید با کارت - غیر حضوری (پس از صدور کارت),مبلغ ثابت,FIXED,Flat,24750,,,,,,IRR,,,,SAFE,,533f0e3b42810ff45ff09b4501550e4dcc33398101a54bc47b3d2cba17d3b018,
173,184,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,17,,CBI1404_ELEC_17_01,تغییر حساب اصلی کارت - غیرحضوری,مبلغ ثابت,FIXED,Flat,41250,,,,,,IRR,,,,SAFE,,47935c69f49471a29d424c502612554575e2fe6a5749964c32f3629fea861c21,
174,185,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,18,,CBI1404_ELEC_18_01,انسداد یا رفع انسداد حساب به درخواست مشتری - غیرحضوری (کلیه حساب ها),مبلغ ثابت,FIXED,Flat,41250,,,,,,IRR,,,,SAFE,,fcde36c5d1ccbf701b38219056bec37e41f29ed952e7e23abaa0c568cf273ed6,
175,186,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,19,,CBI1404_ELEC_19_01,ثبت دستور پرداخت مستمر (برای هر بار تعریف),مبلغ ثابت,FIXED,Flat,2500,,,,,,IRR,,,,SAFE,,fca7540fe012686ed856487b93430b3541a0c846e97ecf75628fe9bd8d82065b,
176,187,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,20,,CBI1404_ELEC_20_01,خدمات مرتبط با صدور سفته و برات الکترونیک,مبلغ ثابت,FIXED,Flat,250000,,,,,,IRR,,,,SAFE,,cd37a3de6da0c0570a2d54fce01b6229035af4e6206ad754cfaaee85182afd3e,
