tariff_code,section_no,section_code,feature_code,section_name,service_name,fee_text,fee_code,category_code,strategy,basis_type,fixed_amount,rate_value,min_fee,max_fee,rate_period_code,component_count,composite,page,source_row,config_hash
4-10,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),توثیق اوراق گواهی اعتبار مولد (گام),حداکثر نیم در هزار مبلغ مورد توثیق,CBI1405R_SEC_4_10,CBI1405R_SEC,PERCENTAGE,Percentage,,0.0005,,,,1,خیر,3,40,42092c3d4088ec5cb07a7a3c61ee8eb91958778545bff704fda84926d2d9ed54
4-11,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),بررسی و پذیرش مطالبات قراردادی با موضوع تأمین کالا,حداکثر معادل نیم در هزار مبلغ توافقی واریزی به حساب تأمین کننده,CBI1405R_SEC_4_11,CBI1405R_SEC,PERCENTAGE,Percentage,,0.0005,,,,1,خیر,3,41,87d901fab59c2caac06a755e7acc7a73dda0e5e7acbce5f24478775fda192106
4-12,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),بررسی و پذیرش مطالبات قراردادی با موضوع تأمین خدمات,حداکثر معادل یک و نیم در هزار مبلغ توافقی واریزی به حساب تأمین کننده,CBI1405R_SEC_4_12,CBI1405R_SEC,PERCENTAGE,Percentage,,0.0015,,,,1,خیر,3,42,6b253b083fa973780e47c61f88c0d908cee9880a6c825e5d17315439e2cadb81
4-13,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),کارت رفاهی متصل به اوراق گواهی اعتبار مولد (گام) (به صورت اقساط مساوی در دوره بازپرداخت),حداکثر به میزان 3 درصد,CBI1405R_SEC_4_13,CBI1405R_SEC,PERCENTAGE,Percentage,,0.03,,,,1,خیر,3,43,953d11940068b72d9cd0bfd1e27c3184c794164490edf9ef88bd1594ce5e0224
4-14,4,SEC,CBI_RIAL_1405_SECURITIES_GROUP,مدیریت اوراق بهادار مشتریان (به استثنای سهام),صدور اوراق گواهی اعتبار مولد (گام) یارانه دارو,حداکثر به میزان 0.5 درصد سالانه,CBI1405R_SEC_4_14,CBI1405R_SEC,ANNUALIZED_PERCENTAGE,Percentage,,0.005,,,YEAR,1,خیر,3,44,68cca70ce1382315e19182c03846d2d0f1171423310351fd535b442909846904
5-1,5,COL,CBI_RIAL_1405_COLLECTION_GROUP,وصول بروات,سفته، برات و قبوض ثبتی وصولی,"هر فقره 144,000 ریال + هزینه پست",CBI1405R_COL_5_1,CBI1405R_COL,PER_UNIT,PerUnit,144000,,,,,1,خیر,3,45,c8f095463291787c47e646e4f72c0a3ba9c5690e6b7697f7ef310342dc8e9bf5
5-2,5,COL,CBI_RIAL_1405_COLLECTION_GROUP,وصول بروات,ابلاغ سفته و برات,"برای هر نوبت 86,400 ریال + هزینه پست",CBI1405R_COL_5_2,CBI1405R_COL,PER_UNIT,PerUnit,86400,,,,,1,خیر,3,46,b397bc0ba71fc6fabc27d2b8a6310e2dbe0b10eae6995e6b69cce8c9cc755e0f
5-3,5,COL,CBI_RIAL_1405_COLLECTION_GROUP,وصول بروات,واخواست سفته,"برای هر برگ 1,152,000 ریال",CBI1405R_COL_5_3,CBI1405R_COL,PER_UNIT,PerUnit,1152000,,,,,1,خیر,3,47,70834c73e70f2a0bcee7e5335ea6100c1ec7be7d3dfd0ec822cd56fffc9a6540
5-4,5,COL,CBI_RIAL_1405_COLLECTION_GROUP,وصول بروات,فروش سفته/براتنامه (از متقاضی),"برای هر برگ 120,000 ریال، حداکثر 2,400,000 ریال",CBI1405R_COL_5_4,CBI1405R_COL,PER_UNIT,PerUnit,120000,,,2400000,,1,خیر,3,48,2d4daa76d3a28dcdb8dac1e44adcb7dc7fa9f9120dfe4301449dade965c1d8cb
5-5,5,COL,CBI_RIAL_1405_COLLECTION_GROUP,وصول بروات,قبولی «برات الکترونیکی زنجیره تولید»,مشابه کارمزد صدور ضمانتنامه و متناسب با وثایق دریافتی,CBI1405R_COL_5_5,CBI1405R_COL,COMPOSITE,Other,,,,,,1,بله,3,49,af4c999b5a808c9a9e13f2abe31efa3485165db7858aa4d5bf4145996a3ba6ef
5-6,5,COL,CBI_RIAL_1405_COLLECTION_GROUP,وصول بروات,انتقال «برات الکترونیکی زنجیره تولید»,حداکثر یک در هزار مبلغ برات انتقال یافته,CBI1405R_COL_5_6,CBI1405R_COL,PERCENTAGE,Percentage,,0.001,,,,1,خیر,3,50,8e04978519fba6988416a3ae4f2c9a4c2055993c47e5aeb486a4111adca2da48
