action,fee_code,tariff_code,name_fa,feature_code,effective_to
ARCHIVE_OLD_RIAL,CBI1404_CERT_6_3_1_01,6-3-1,صدور هرگونه گواهی حساب,CBI_CERTIFICATE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CERT_6_3_2_01,6-3-2,صدور گواهی حساب به لاتین,CBI_CERTIFICATE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_CERT_6_3_3_01,6-3-3,صدور المثنی گواهی سپرده های ویژه کوتاه مدت و بلندمدت,CBI_CERTIFICATE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_STMT_6_4_2_01,6-4-2,ارائه صورت حساب سال جاری/ سال های گذشته (جهت کلیه حساب ها) به صورت حضوری,CBI_STATEMENT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_STMT_6_4_2_02,6-4-2,ارائه صورت حساب مشتری به صورت فایل,CBI_STATEMENT_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_1_01,6-5-1,ارتباط هر حساب جدید با کارت(پس از صدور کارت) - درخواست حضوری از طریق مراجعه به شعب,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_2_01,6-5-2,تغییر حساب اصلی کارت- درخواست حضوری از طریق مراجعه به شعب,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_3_01,6-5-3,فعال سازی حساب های راکد- به صورت حضوری هر حساب,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_4_01,6-5-4,فعال سازی حساب های مطالبه نشده و تعیین تکلیف نشده- به صورت حضوری هر حساب,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_5_01,6-5-5,انتقال و واگذاری سپرده بلندمدت و سپرده کوتاه مدت ویژه به اشخاص درجه اول (بابت هر بار انتقال),CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_5_02,6-5-5,انسداد یا رفع انسداد حساب/ کارت به درخواست مشتری (همه حساب ها) - به صورت حضوری,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_SRC76_01,,"تغییر در شرایط/اطلاعات حساب های بانکی (صاحبان امضا , آدرس و ...) به درخواست مشتری به صورت حضوری اشخاص حقیقی",CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_SRC77_01,,"تغییر در شرایط/اطلاعات حساب های بانکی (صاحبان امضا , آدرس و ...) به درخواست مشتری به صورت حضوری اشخاص حقوقی",CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_5_03,6-5-5,برقراری ارتباط بین حساب ها با لحاظ کف و سقف مبلغ بابت هر نوبت (به استثنای تأمین وجه چک),CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_SRC79_01,,ثبت حضوری دستور پرداخت مستمر (برای هر بار تعریف) اشخاص حقیقی,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_SRC80_01,,ثبت حضوری دستور پرداخت مستمر (برای هر بار تعریف) اشخاص حقوقی,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_ACCSVC_6_5_10_01,6-5-10,انتقال سایر سپرده ها(اعم از پس انداز، کوتاه مدت و بلندمدت) به شعب دیگر در هر شهر,CBI_ACCOUNT_SERVICE_FEE_GROUP,2026-09-09
